,process,type,sub process,details
54, Plan risk responses, tools and techniques, Strategies for negative risks or threats,three strategies typically deal threats risks may have negative impacts project objectives occur are avoid transfer mitigate. fourth strategy accept can be used negative risks threats as well as positive risks opportunities. risk response strategies have varied unique influence risk condition. strategies should be chosen match risk’s probability impact project’s overall objectives. avoidance mitigation strategies are usually good strategies critical risks high impact transference acceptance are usually good strategies threats are less critical low overall impact. four strategies dealing negative risks threats are described as follows avoid. risk avoidance is a risk response strategy whereby project team acts eliminate threat protect project impact. usually involves changing project management plan eliminate threat entirely. project manager may also isolate project objectives risk’s impact change objective is jeopardy. examples include extending schedule changing strategy reducing scope. radical avoidance strategy is shut project entirely. some risks arise early project can be avoided clarifying requirements obtaining information improving communication acquiring expertise. transfer. risk transference is a risk response strategy whereby project team shifts impact a threat a third party together ownership response. transferring risk simply gives another party responsibility management—it does not eliminate it. transferring does not mean disowning risk transferring a later project another person without knowledge agreement. risk transference nearly always involves payment a risk premium party taking risk. transferring liability risk is effective dealing financial risk exposure. transference tools can be quite diverse include are not limited use insurance performance bonds warranties guarantees etc. contracts agreements may be used transfer liability specified risks another party. example a buyer has capabilities seller does not possess may be prudent transfer some work concurrent risk contractually back buyer. many cases use a cost-plus contract may transfer cost risk buyer a fixed-price contract may transfer risk project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management mitigate. risk mitigation is a risk response strategy whereby project team acts reduce probability occurrence impact a risk. implies a reduction probability and/or impact adverse risk be within acceptable threshold limits. taking early action reduce probability and/or impact a risk occurring project is often effective trying repair damage risk has occurred. adopting less complex processes conducting tests choosing a stable supplier are examples mitigation actions. mitigation may require prototype development reduce risk scaling a bench-scale model a process product. is not possible reduce probability a mitigation response might address risk impact targeting linkages determine severity. example designing redundancy a system may reduce impact a failure original component. accept. risk acceptance is a risk response strategy whereby project team decides acknowledge risk not take action unless risk occurs. strategy is adopted is not possible cost-effective address a specific risk other way. strategy indicates project team has decided not change project management plan deal a risk is unable identify other suitable response strategy. strategy can be either passive active. passive acceptance requires no action except document strategy leaving project team deal risks as occur periodically review threat ensure does not change significantly. common active acceptance strategy is establish a contingency reserve including amounts time money resources handle risks.
55, Plan risk responses, tools and techniques, Strategies for Positive risks or opportunities,three four responses are suggested deal risks potentially positive impacts project objectives. fourth strategy accept can be used negative risks threats as well as positive risks opportunities. strategies described are exploit share enhance accept. exploit. exploit strategy may be selected risks positive impacts organization wishes ensure opportunity is realized. strategy seeks eliminate uncertainty associated a particular upside risk ensuring opportunity definitely happens. examples directly exploiting responses include assigning organization’s talented resources project reduce time completion using new technologies technology upgrades reduce cost duration required realize project project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management enhance. enhance strategy is used increase probability and/or positive impacts opportunity. identifying maximizing key drivers positive-impact risks may increase probability occurrence. examples enhancing opportunities include adding resources activity finish early. share. sharing a positive risk involves allocating some ownership opportunity a third party who is best able capture opportunity benefit project. examples sharing actions include forming risk-sharing partnerships teams special-purpose companies joint ventures can be established express purpose taking advantage opportunity parties gain actions. accept. accepting opportunity is being willing take advantage opportunity arises not actively pursuing it.
56, Plan risk responses, tools and techniques, contingent response Strategies,some responses are designed use certain events occur. some risks is appropriate project team make a response plan will be executed certain predefined conditions is believed will be sufficient warning implement plan. events trigger contingency response such as missing intermediate milestones gaining higher priority a supplier should be defined tracked. risk responses identified using technique are often called contingency plans fallback plans include identified triggering events set plans effect.
57, Plan risk responses, tools and techniques, Expert Judgment,expert judgment is input knowledgeable parties pertaining actions be taken a specific defined risk. expertise may be provided group person specialized education knowledge skill experience training establishing risk responses.
58, Plan risk responses, outputs, Project Management Plan updates,elements project management plan may be updated as a result carrying process include are not limited project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management schedule management plan. schedule management plan is updated reflect changes process practice driven risk responses. may include changes tolerance behavior related resource loading leveling as well as updates schedule strategy. cost management plan. cost management plan is updated reflect changes process practice driven risk responses. may include changes tolerance behavior related cost accounting tracking reports as well as updates budget strategy contingency reserves are consumed. quality management plan. quality management plan is updated reflect changes process practice driven risk responses. may include changes tolerance behavior related requirements quality assurance quality control as well as updates requirements documentation. procurement management plan. procurement management plan may be updated reflect changes strategy such as alterations make-or-buy decision contract type(s) driven risk responses. human resource management plan. staffing management plan part human resource management plan is updated reflect changes project organizational structure resource driven risk responses. may include changes tolerance behavior related staff allocation as well as updates resource loading. scope baseline. new modified omitted work generated risk responses scope baseline may be updated reflect changes. schedule baseline. new work (or omitted work) generated risk responses schedule baseline may be updated reflect changes. cost baseline. new work (or omitted work) generated risk responses cost baseline may be updated reflect changes.
59, Plan risk responses, outputs, Project documents updates,plan risk responses process several project documents are updated as needed. example appropriate risk responses are chosen agreed upon are included risk register. risk register should be written a level detail corresponds priority ranking planned response. often high moderate risks are addressed detail. risks judged be low priority are included a watch list periodic monitoring. updates risk register can include are not limited project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management risk owners assigned responsibilities; agreed-upon response strategies; specific actions implement chosen response strategy; trigger conditions symptoms warning signs a risk occurrence; budget schedule activities required implement chosen responses; contingency plans triggers call execution; fallback plans use as a reaction a risk has occurred primary response proves be inadequate; residual risks are expected remain planned responses have been taken as well as have been deliberately accepted; secondary risks arise as a direct outcome implementing a risk response; contingency reserves are calculated based quantitative risk analysis project organization’s risk thresholds.other project documents updated could include assumptions log updates. as new information becomes available application risk responses assumptions could change. assumptions log needs be revisited accommodate new information. technical documentation updates. as new information becomes available application risk responses technical approaches physical deliverables may change. supporting documentation needs be revisited accommodate new information. change requests. planning possible risk responses can often result recommendations changes resources activities cost estimates other items identified other planning processes. such recommendations are identified change requests are generated processed perform integrated change control project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
60, control risks, Inputs, Project Management Plan,project management plan includes risk management plan provides guidance risk monitoring controlling.
61, control risks, Inputs, risk register,risk register has key inputs include identified risks risk owners agreed-upon risk responses control actions assessing effectiveness response plans risk responses specific implementation actions symptoms warning signs risk residual secondary risks a watch list low-priority risks time cost contingency reserves. watch list is within risk register provides a list low-priority project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
62, control risks, Inputs, Work Performance data,work performance data related various performance results possibly impacted risks includes is not limited deliverable status schedule progress costs incurred.
63, control risks, Inputs, Work Performance reports,work performance reports take information performance measurements analyze provide project work performance information including variance analysis earned value data forecasting data. data points could be impactful controlling performance related risks.
64, control risks, tools and techniques, risk reassessment,control risks often results identification new risks reassessment current risks closing risks are outdated. project risk reassessments should be regularly scheduled. amount detail repetition are appropriate depends project progresses relative objectives.
65, control risks, tools and techniques, risk Audits,risk audits examine document effectiveness risk responses dealing identified risks root causes as well as effectiveness risk management process. project manager is responsible ensuring risk audits are performed appropriate frequency as defined project’s risk management plan. risk audits may be included routine project review meetings team may choose hold separate risk audit meetings. format audit objectives should be clearly defined audit is project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
66, control risks, tools and techniques, Variance and trend Analysis,many control processes employ variance analysis compare planned results actual results. purposes controlling risks trends project’s execution should be reviewed using performance information. earned value analysis other methods project variance trend analysis may be used monitoring overall project performance. outcomes analyses may forecast potential deviation project completion cost schedule targets. deviation baseline plan may indicate potential impact threats opportunities.
67, control risks, tools and techniques, technical Performance Measurement,technical performance measurement compares technical accomplishments project execution schedule technical achievement. requires definition objective quantifiable measures technical performance can be used compare actual results targets. such technical performance measures may include weight transaction times number delivered defects storage capacity etc. deviation such as demonstrating less functionality planned a milestone can help forecast degree success achieving project’s scope.
68, control risks, tools and techniques, reserve Analysis,throughout execution project some risks may occur positive negative impacts budget schedule contingency reserves. reserve analysis compares amount contingency reserves remaining amount risk remaining time project order determine remaining reserve is adequate.
69, control risks, tools and techniques, Meetings,project risk management should be agenda item periodic status meetings. amount time required item will vary depending upon risks have been identified priority difficulty response. often risk management is practiced easier becomes. frequent discussions risk make likely people will identify risks project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition licensed jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
70, control risks, outputs, Work Performance Information,work performance information as a control risks output provides a mechanism communicate support project decision making.
71, control risks, outputs, change requests,implementing contingency plans workarounds sometimes results a change request. change requests are prepared submitted perform integrated change control process (section change requests can include recommended corrective preventive actions as well. recommended corrective actions. are activities realign performance project work project management plan. include contingency plans workarounds. latter are responses were not initially planned are required deal emerging risks were previously unidentified accepted passively. recommended preventive actions. are activities ensure future performance project work is aligned project management plan.
72, control risks, outputs, Project Management Plan updates,approved change requests have effect risk management processes corresponding component documents project management plan are revised reissued reflect approved changes. elements project management plan may be updated are same as plan risk responses project management institute. a guide project management body knowledge (pmbok® guide) – fifth edition jorge diego fuentes sanchez pmi memberid copy is a pmi member benefit not distribution sale - project risk management
73, control risks, outputs, Project documents updates,project documents may be updated as a result control risk process include are not limited risk register. risk register updates may include outcomes risk reassessments risk audits periodic risk reviews. outcomes may include identification new risks updates probability impact priority response plans ownership other elements risk register. outcomes can also include closing risks are no longer applicable releasing associated reserves. actual outcomes project’s risks risk responses. information can help project managers plan risk throughout organizations as well as future projects.
74, control risks, outputs, organizational Process Assets updates,risk management processes produce information may be used future projects should be captured organizational process assets. organizational process assets may be updated include are not limited totemplates risk management plan including probability impact matrix risk registerrisk breakdown structure lessons learned project risk management activities.these documents should be updated as needed project closure. final versions risk register risk management plan templates checklists risk breakdown structure are included.
